neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אופיר,5874.65,5280.61,6271.97,7069.91,7723.96,7739.71,7597.48,8845.91,8538.71,9405.37,10592.5,11605.07,12067.86,12741.53,12995.97,14126.01,16213.21,15434.74,17933.16,17369.28
אורים,4781.84,5823.4,5695.54,6529.5,6536.17,7015.57,7482.76,6933.9,7850.29,9371.18,10421.63,11540.88,11890.72,12033.67,12275.56,14006.86,16475.28,16539.24,17052.33,18074.44
אזור תעשיה חדש,,,,,,,,,,,,,1565.76,26575.19,26086.58,31574.44,36612.37,39220.11,38553.8,26787.96
בנה ביתך,,,,,,,10994.73,9845.37,9597.11,9909.16,11756.6,12214.49,12810.66,14591.23,13879.72,15690.27,17869.01,17291.16,19283.71,18808.1
גנים א,5815.81,6380.0,7336.08,7635.41,9401.55,7950.93,6714.97,6378.31,8234.19,8252.23,8847.02,7601.23,10225.02,11226.06,10664.57,12570.31,12703.06,14967.9,16522.86,14572.18
גנים ב,7926.82,9443.21,15208.33,12337.74,14163.29,15633.33,11007.41,13876.64,18631.56,9661.53,6524.83,10035.84,14482.76,13780.92,11190.77,13505.62,15283.95,,17298.39,20408.57
הדקל,,,,,8461.28,10639.62,12298.04,12187.47,15116.48,15534.49,11565.82,11511.51,12209.23,12645.83,13260.16,14686.43,14718.09,15670.14,16452.74,14776.67
המלונות,12445.0,14411.9,10000.0,11779.41,10793.65,13914.3,22362.48,11673.94,12356.16,14705.4,14626.95,16651.24,17079.05,19674.06,19287.7,19904.28,22780.72,23757.4,32918.53,32529.07
הערבה,5528.26,6970.82,6439.0,6473.35,9055.25,8421.11,8615.07,8689.99,9370.89,10514.5,12899.04,13148.21,13005.01,14024.6,14564.23,16762.63,18799.06,17154.9,20555.9,19734.69
יעלים,7656.96,6649.99,8961.78,6097.18,6507.84,9687.54,8130.75,8280.48,7612.86,9779.77,10466.2,10558.91,12003.14,12090.14,13865.45,12611.09,16639.06,15678.28,17032.43,16787.85
מצפה ים,8506.29,8857.64,7349.83,9198.58,9590.09,9458.55,9109.9,10426.44,10152.65,10612.36,11353.2,12816.05,12672.2,12906.59,13506.62,14926.2,16475.55,18940.0,21138.48,15551.63
מרכז העיר,14627.78,8905.21,13690.69,7183.07,14963.26,14357.69,12286.57,14712.46,13297.6,13606.78,14455.13,14195.39,15849.38,14631.33,20033.15,20652.97,22822.99,22459.26,25862.88,25963.06
צאלים,5981.84,5949.24,6248.33,6712.5,8767.52,8849.86,8510.48,8776.64,9711.09,10141.07,12737.94,12862.57,12369.23,12930.11,13907.5,14185.21,17776.88,17335.97,17603.96,16161.08
שחמון,,,,,,,,,,,,,,,,16038.22,18973.72,21329.81,21885.24,22321.78
