neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
א,,,,,,,,,,,11191.07,10481.35,11158.7,10629.54,10479.03,11612.28,12575.06,12939.14,12437.89,12983.32
אזור תעשיה,2235.14,2272.73,2786.24,,3175.57,,,,8714.29,,,14943.54,7813.16,11791.53,12640.21,12857.28,13701.29,15062.85,15750.13,16281.38
ב,,,,,,,,,,,,,,,,12281.58,12883.5,13649.22,14540.05,13996.75
ג,,,,,,,,,,,,,,,,12449.21,13033.48,12736.56,12753.95,12686.11
ד,,,,,,,,,,,,,,,,,,13619.73,14140.08,14263.71
ה,,,,,,,,,,,,,,,,9943.4,11588.66,12426.32,12369.3,12459.57
ו,,,,,,,,,,,,,,,,,11825.36,12051.68,12015.61,12187.14
ט,,,,,,,,,,,,,,11325.11,11609.64,11662.13,11914.0,12472.66,12865.21,12519.32
יא,,,,,,,,,,,,,,,,10302.35,10631.11,10697.78,11432.17,11609.67
מרכז אזרחי,,,,7630.95,7239.16,8622.75,8927.68,9607.85,9947.0,8978.78,12062.95,13592.34,10587.37,10771.11,9813.39,10906.68,12330.69,10935.98,12127.16,11061.76
נאות לון,3344.97,5352.54,5354.28,5935.5,8893.91,9434.72,8979.41,9184.21,10342.97,11029.81,11579.06,10716.28,9707.81,11458.99,9583.95,11081.7,13071.07,12788.58,13510.51,13504.03
נווה זאב,,,,,,,,,,,,,,,,,13975.11,13707.57,14658.4,15068.07
נווה מנחם,,,,,,,,,,,,,11688.15,11659.12,11574.77,11684.16,13741.96,14203.54,14791.06,14624.05
נווה נוי,4464.09,5077.23,5287.38,7298.66,7732.1,9488.7,9176.79,7678.61,10310.29,12466.43,13265.58,10567.82,8580.94,10260.2,11401.22,11941.07,12172.02,11789.63,13411.71,9734.17
נחל בקע,4316.67,,4220.05,6844.44,5985.1,7643.59,8286.66,9186.89,9527.02,10935.5,11717.13,11125.7,12148.07,12056.3,12274.72,11466.45,13394.47,10602.97,14021.08,16394.31
עיר עתיקה,,,,,,,,,,9984.77,10326.48,10279.26,11480.2,10842.4,10896.95,10451.85,11897.18,11848.79,11589.27,12786.89
פלח שבע,5421.69,6455.39,7580.36,8166.67,9609.15,10436.03,9660.53,10374.04,10473.87,11034.67,11968.28,12441.2,12211.9,12497.04,12222.94,12309.02,15009.71,14401.76,15278.71,17362.31
רמות,,,,,,,,,,,,12792.84,11168.74,11263.98,11234.5,12039.66,12942.97,14237.5,13915.58,12991.32
רמות הרכס,,,,,,,,,,,,,,,,13162.4,14293.3,15112.24,15322.63,15518.52
