neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
ארלוזרוב,,,,,,,,,,,,27972.92,30290.47,30872.48,31665.52,33435.94,45174.22,43230.77,38709.55,41565.27,45700.68,47664.87,49629.07,51593.27,53557.47
בורוכוב,,,,,,,,,,,26246.96,28721.27,28109.59,28541.47,32077.26,33229.33,37745.21,36369.75,41297.84,43925.33,44199.91,46122.37,48044.83,49967.29,51889.74
גבעת קוזלובסקי,12188.53,18580.58,16664.78,21883.54,29829.07,25059.67,22120.79,24429.37,34298.71,25064.36,25701.2,28569.19,26755.39,31294.06,19534.35,37768.63,33007.29,58950.48,41232.26,51921.4,45156.86,46672.5,48188.13,49703.77,51219.4
"גבעת רמב""ם",,,,,,,24021.47,23173.98,25732.74,26899.06,29302.34,30460.28,30780.57,31810.67,31673.76,34149.12,38678.33,40095.76,40700.44,46904.1,44503.57,46109.92,47716.28,49322.63,50928.99
"הל""ה",12800.94,11436.36,14613.46,16585.13,18639.83,18811.83,19424.19,19590.19,24468.95,22265.71,26193.93,28252.32,25374.48,30185.61,29554.02,34581.7,34726.3,37490.37,36100.11,47589.76,41625.02,43167.0,44708.98,46250.96,47792.93
סיטי,,13447.76,20757.58,13665.48,19072.0,1553.67,17456.64,17550.05,23591.08,24274.36,29195.27,27044.86,26034.89,27876.39,25755.62,30125.2,30758.36,30941.74,37860.55,41476.44,38072.6,39467.03,40861.46,42255.89,43650.32
פועלי הרכבת,11323.93,13088.03,15041.92,16942.92,18386.34,18813.03,19977.15,22148.37,22307.85,22054.76,25117.51,27730.73,24852.4,27732.31,27302.58,28154.13,31841.39,31219.08,38475.47,34310.24,36280.37,37465.08,38649.78,39834.48,41019.18
קריית יוסף,12459.64,13141.4,13443.63,18713.99,19776.92,18505.52,19331.42,24593.2,23469.75,25781.78,26877.58,24850.98,26167.1,26320.66,26466.84,30736.64,37864.3,32221.8,36550.12,45549.98,39442.74,40804.8,42166.86,43528.91,44890.97
שטח 9,13836.49,18712.09,16579.78,19983.62,21297.64,23356.74,23434.67,23976.38,23934.08,27646.58,27991.86,30049.95,27461.8,28755.98,31518.99,28742.93,32492.1,33686.57,36834.75,36505.89,37287.92,38330.58,39373.25,40415.91,41458.58
שיכון חברת חשמל,12615.55,13290.54,14370.22,16709.0,17327.36,19672.28,22634.65,22715.92,25827.22,23271.49,24797.69,28996.36,27715.17,36490.86,32343.91,33859.54,34026.11,48574.72,40362.21,39835.21,43702.09,45314.5,46926.91,48539.32,50151.73
שינקין,,,,,,,,,22106.59,24820.53,25248.14,27457.81,28163.25,28079.95,30317.15,32223.42,36568.5,39209.71,39107.21,37131.05,41131.97,42710.82,44289.67,45868.53,47447.38
תל גנים,,,,21587.87,21019.02,21819.57,21298.09,23201.91,25011.59,25528.91,27355.48,29400.85,30833.17,33233.17,32326.84,34537.66,40349.35,40671.92,44025.49,47343.76,45156.4,46778.06,48399.72,50021.38,51643.05
