neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אזורי גדרה,6837.17,7422.7,8406.53,9949.52,11959.24,10624.2,12686.33,13044.7,13491.28,15360.16,15419.54,16217.16,18019.08,15741.43,20308.14,20855.06,23593.31,24488.41,26906.64,25696.26
אחוזת גדרה,7431.82,8366.19,8921.0,11093.42,11085.15,12555.4,12077.17,12787.89,14065.45,13164.24,13546.28,15257.56,16377.3,18323.86,15591.82,18285.95,22370.67,23492.64,18731.33,22819.81
אמירי גן,5464.9,8035.75,8430.99,9383.96,9476.72,10095.57,11801.69,11148.79,13538.94,13234.31,12357.26,13567.99,14072.18,10171.9,11908.53,13783.01,13162.95,18200.53,23461.67,
גבעת אביב,5504.68,6707.52,7523.65,8831.23,9340.55,10530.99,10089.07,10214.71,11442.02,9463.85,9440.27,13471.15,4328.68,9614.78,12725.7,13901.11,14963.61,15974.28,20603.68,18327.31
גבעת העיריות,4277.1,7396.62,8539.15,9515.07,10100.46,12475.76,9941.73,12753.23,12622.71,12997.63,13671.31,14392.45,10016.78,10344.17,11102.36,12950.28,9469.5,10706.94,11581.19,20206.18
גדרה הצעירה,,7980.41,9197.96,9595.91,11910.73,12750.98,12822.03,13270.88,13225.24,14422.72,15091.47,16835.58,17432.09,18803.3,16763.82,19967.04,24136.51,25176.98,24913.3,25135.34
המושבה,4662.04,5169.1,5910.67,7303.07,9550.24,10628.69,9960.54,12231.73,9977.65,10911.64,11191.95,14260.69,13924.2,13938.37,15422.09,16744.03,19294.19,18208.33,17696.42,19395.9
המושבה הגרמנית,7429.45,7501.26,7235.06,7576.46,10662.14,16587.46,8844.06,11145.02,11319.18,11509.45,12111.77,11139.43,11299.01,10820.06,13881.38,8639.62,21076.71,23277.73,20129.6,20748.81
הפועלים,10743.89,7284.65,11330.26,9918.5,10179.84,10423.66,11353.12,9684.75,14057.63,14573.39,10166.02,16052.81,17500.84,16478.68,17707.03,20678.14,19457.51,23333.33,22717.83,20984.21
כפר אוריאל,8799.53,6158.78,6502.24,7325.0,8473.52,12138.31,10565.84,13308.98,11424.13,14283.27,14099.27,12768.75,11545.54,12984.88,10742.63,14865.03,21557.63,22449.64,19294.61,6822.78
נווה משה,8252.23,2087.12,7646.14,,12652.95,6136.59,10625.0,10901.92,11312.7,9941.26,13585.38,8846.08,,21537.15,15116.04,14973.02,20142.69,9567.23,14244.59,28577.49
נווה שלמה,,1322.22,,7777.78,4318.15,9930.94,10754.99,,6827.64,8888.89,11576.23,13657.62,6599.72,12336.6,,2701.8,13600.73,36333.33,5257.12,
נופש,,6285.06,8486.14,10718.59,11189.47,12489.43,11965.51,13108.88,10824.5,13748.01,16181.15,17123.68,19349.79,18155.88,19286.42,19289.28,27542.39,14893.28,32636.34,30914.63
עמק הנשר,6746.33,5046.82,7854.99,7908.68,10153.12,12351.48,9751.03,13137.18,13400.66,10520.11,13053.09,14863.93,11718.39,14286.45,18493.85,16467.67,15293.54,,18391.89,20975.61
רשפים,7235.1,7949.46,8771.49,10098.46,10206.34,10703.95,7923.35,11538.55,13290.12,13090.39,15152.39,15592.72,12748.17,18056.75,16060.08,16437.98,21951.64,24463.19,23369.57,
