neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אברמסקי,,,,,,,,,,,9963.76,10265.47,10585.89,11025.71,10614.92,11232.45,13345.56,13607.71,14801.03,15883.11
גבעה א,,,,,,6722.62,6256.27,7353.08,7500.16,8870.63,8978.59,9047.92,9458.65,8967.97,8894.35,10378.55,11792.72,13505.75,15348.49,15254.99
גבעת אלונים,,,,,,,,,,,,,,11111.35,12744.2,13132.31,14901.13,15172.15,15223.87,16630.67
גבעת הרקפות,,4312.72,4625.1,4252.96,4974.81,6598.1,7485.5,8123.28,7626.48,9133.1,9826.8,9745.61,7624.79,8258.15,9112.37,9821.12,10153.9,11837.61,15714.04,15824.26
גבעת טל,6487.29,6453.07,6047.5,7370.65,7809.3,10041.63,10048.53,10635.0,11528.21,11857.61,13230.4,13506.47,13450.39,13698.02,14291.07,13213.0,14564.81,15560.94,14147.19,17140.69
גבעת רם,,7280.82,3611.1,6995.89,6287.44,7771.17,8212.33,11626.89,10444.98,11492.54,12599.16,11704.31,13152.97,12046.58,12655.27,12774.26,14228.8,15295.31,17544.8,16997.42
מרכז העיר,,,,,,,,,,,,,,,,,,13376.75,14620.61,15925.38
נווה אברהם,7502.89,443.21,3071.43,4063.07,7946.51,10302.46,3465.17,8535.67,13401.13,8316.33,13106.86,,11211.72,10263.16,7492.98,11090.47,10750.21,7848.06,7294.36,
נווה חן,2178.77,1860.72,2672.41,4231.89,5106.11,5808.31,5711.05,6404.95,6802.96,6292.03,8126.71,8391.14,8024.7,9898.22,7940.41,9992.89,11530.31,11566.38,15551.78,17355.84
קרית בנימין,,,,,5425.3,8018.33,8589.53,8576.13,9460.24,11838.62,10526.94,10181.94,9495.31,9791.08,10518.53,10899.75,13643.45,17535.72,13994.79,20345.14
קרית פרוסטיג,4620.99,3475.71,4046.47,4943.53,4413.56,6309.99,5813.72,7124.3,11404.43,10368.65,9221.35,10836.59,12151.9,10011.98,11122.09,9276.89,15227.74,10883.5,13587.55,17800.12
