neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אבן גבירול,,,,,,,,,11619.77,13045.27,13897.12,14379.82,15255.21,16324.46,17029.74,17086.54,22205.95,22171.03,22443.9,24244.41
אבני חן,8635.07,7178.72,8806.14,10012.34,16648.55,12669.67,13020.28,14753.4,13568.97,19720.62,17172.28,16025.43,19455.57,19881.88,20527.66,24100.01,29713.47,21833.34,28184.99,29428.99
אושיות,5760.86,5691.37,7223.91,8025.0,9682.47,14037.2,12761.81,12637.02,16180.32,14981.06,15263.44,17402.78,15696.11,18802.13,19178.56,20024.57,23471.53,22302.23,27023.91,26646.91
אזורי ויצמן,9369.43,8943.46,10306.48,11779.74,13655.55,14811.9,15029.84,16202.69,15957.37,16867.55,19258.12,19917.53,20570.75,19474.55,19031.97,23136.88,26404.63,28240.87,28081.76,25464.95
אחוזת הנשיא,,9570.39,12265.48,12534.94,13247.34,15365.72,15251.91,15060.77,16559.73,17674.02,17300.69,19751.64,18617.67,21027.06,21864.25,22236.72,27344.33,25646.77,27455.33,30536.78
אייזנבר\ אהרוני,7104.22,8133.39,9531.1,10948.53,13564.02,13569.86,13699.45,13822.93,14918.67,15646.59,17059.41,18504.89,17707.64,20654.96,20022.29,22436.86,25196.27,26241.24,25760.97,26569.04
בנימין\ נורדאו,,7737.46,8465.76,10338.72,10741.69,12272.62,12236.18,13667.21,13645.99,15619.79,16729.98,17063.16,18273.65,18648.28,18598.34,19589.52,22035.86,23628.36,22262.74,26312.21
גבעתי,7509.28,6930.37,8514.86,9526.35,10241.62,11218.76,11927.13,12756.67,11064.82,13402.12,14588.93,14269.86,15578.09,17773.98,15855.04,18732.99,22357.48,20752.45,20873.33,19126.64
גינות סביון,,11997.04,10080.69,10893.4,12066.54,,16239.57,15686.27,13720.39,17167.83,17542.15,18480.65,16593.89,,18724.78,21424.03,16851.31,22037.6,10110.94,29436.28
דניה,4578.85,6006.91,6437.57,8265.47,9085.58,12587.24,11361.62,12207.13,12658.82,13080.59,15938.43,16108.0,16209.2,17424.0,17167.82,18195.72,19720.03,22184.31,21471.94,26075.18
