neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"אג""ש",3427.1,2932.85,3820.78,4679.72,4229.09,4968.25,6043.17,8839.59,9973.63,8919.79,9074.78,12678.73,10898.34,12355.87,11776.88,10601.47,11753.43,11823.51,13667.3,13719.08
אשכול,3987.75,4307.45,4099.37,5095.87,6556.57,8999.24,8828.6,9864.43,10668.47,11458.62,10728.99,13315.96,13196.53,14880.49,14450.82,15438.17,17117.14,14497.98,18075.12,19089.64
"ביל""ו",4883.33,3892.09,2621.8,4686.12,5867.95,7769.95,11549.71,6997.5,8728.77,10605.26,14177.53,3443.65,8718.96,7200.73,8752.87,11335.43,16234.13,15001.17,11555.42,13914.05
בן גוריון,4893.55,4080.0,4281.82,5443.8,6455.6,8212.2,8841.13,9251.87,7203.06,9950.31,11424.79,12355.37,13003.46,13765.94,15137.84,14406.93,15642.93,18369.11,18070.88,25058.33
ג'ואריש,,3554.86,2000.0,3034.5,,2736.84,,3644.74,4752.94,4164.47,4842.11,5197.37,6310.53,6315.79,4342.11,4526.32,10569.08,6345.38,,4672.9
גיורא,4822.1,4109.64,4191.94,6053.96,7182.89,8576.27,9499.8,10310.77,9477.96,10787.94,11394.48,13603.17,13337.66,14378.54,15062.65,15449.22,16955.95,16316.2,19634.2,20515.72
גני דן,,5186.23,5000.0,6495.45,6469.03,8199.34,8667.9,9184.93,10157.81,11935.22,10711.98,15496.71,13065.92,13800.45,8749.81,13989.83,17003.67,18466.51,18470.48,18594.99
המרכז האזרחי,5301.64,4662.89,6189.59,7272.26,9541.07,10581.39,10251.05,11444.72,11981.67,12749.07,14811.57,13553.91,15487.81,15336.73,14336.01,13195.68,15906.95,18272.45,18679.59,21323.84
העיר העתיקה,4034.49,1752.87,2749.55,3820.34,2167.47,2885.95,5588.48,6156.56,5355.29,8974.96,9518.56,10594.48,5825.79,6089.85,8522.92,8250.22,9282.76,11059.81,11787.0,18050.32
השופטים,4343.41,4852.51,4273.23,4688.07,7556.05,7681.56,8432.97,9227.95,9300.05,10722.97,11412.02,12261.49,12027.49,12354.56,13086.36,13197.8,14453.87,16015.35,17488.55,17610.83
וייצמן,3334.19,4634.54,4700.47,5660.7,8886.04,9746.9,8749.23,9871.25,11799.28,12951.1,13244.95,17110.93,13685.91,16346.2,13492.11,16331.23,17321.43,17767.72,18077.93,23311.86
מכבי,,,,10958.33,,,,,,,,,1664.18,,12241.67,17143.96,14156.79,16101.24,15573.62,19574.47
משכנות,4104.48,3939.61,4845.38,4755.11,7443.81,7914.01,8348.47,9636.37,9155.29,11346.06,11301.7,13135.97,13344.98,14288.45,14372.8,14998.41,16145.72,17777.91,20586.29,22224.12
נאות יצחק רבין,4383.84,4725.53,4865.61,5800.41,8818.48,11264.61,10278.5,11141.33,9925.75,11103.45,11802.61,12118.25,14729.14,13443.95,12524.3,15269.84,17081.11,15474.18,17621.15,18249.04
נווה דוד,5756.22,6379.41,6970.65,8430.44,10569.13,9760.33,12414.54,11496.24,11800.74,12399.95,14109.63,14486.26,18018.76,17029.25,15182.39,17460.2,16535.05,18420.72,20947.99,18712.13
נווה יהונתן,4950.38,3771.42,5128.87,7169.78,7026.09,9569.89,10215.56,9908.8,9646.85,11179.69,13142.92,12112.56,16004.72,14919.8,17451.23,15959.13,15894.04,20476.57,20849.96,21414.44
נווה מאיר,,5025.33,4964.83,1728.4,8347.46,9227.21,10079.43,9808.96,9681.52,10953.32,,7783.64,16949.61,12694.32,14793.32,15401.26,15332.57,18681.71,19337.73,19777.78
קריית מנחם בגין,,,,7843.61,8820.11,10430.03,10545.36,10655.57,11880.48,12937.6,14214.19,15387.13,16563.31,16078.24,16392.47,17192.76,17897.57,20237.34,20864.19,21709.0
קרית האומנים,,,,,,,,,13562.05,13591.89,16041.42,16198.72,16256.79,16979.06,16667.45,17958.76,20587.47,23287.39,21816.74,22030.8
רמלה מערב,,6568.29,,8985.46,11734.69,,,,12121.85,,16666.67,12460.94,8160.56,16161.73,15419.56,15016.84,19607.95,19506.82,17389.79,19749.51
רמת דן,5912.6,7342.61,7979.07,8425.24,10102.98,11640.09,11728.84,12638.13,12889.82,14002.02,15800.61,17552.48,16696.39,18996.37,12681.57,17450.44,21189.01,22577.77,23482.66,23223.93
שפרינצק,8040.01,5540.37,6573.85,9268.27,9062.24,11163.16,10473.44,13661.83,13852.62,12864.26,14243.53,13540.83,17774.55,17419.82,16610.23,15184.16,22098.6,19521.02,23066.63,30548.72
